filename,classification,ann_type,x1,y1,x2,y2,label,polygon_pts,note
extreme_pain_01.png,extreme_pain,bbox,92,8,300,237,extreme_pain,,
extreme_pain_01.png,extreme_pain,polygon,,,,,extreme_pain,"[(92, 98), (92, 172), (132, 238), (246, 238), (299, 157), (299, 69), (257, 8), (158, 6), (92, 50), (93, 99), (93, 171)]",
extreme_pain_02.png,extreme_pain,bbox,88,9,294,238,extreme_pain,,
extreme_pain_02.png,extreme_pain,polygon,,,,,extreme_pain,"[(89, 78), (88, 169), (139, 238), (246, 239), (294, 169), (293, 55), (243, 9), (137, 13), (89, 78)]",
extreme_pain_03.png,extreme_pain,bbox,93,8,287,236,extreme_pain,,
extreme_pain_03.png,extreme_pain,polygon,,,,,extreme_pain,"[(93, 55), (95, 187), (145, 234), (251, 235), (288, 163), (288, 52), (243, 10), (134, 9), (94, 55)]",
extreme_pain_04.png,extreme_pain,bbox,98,10,295,236,extreme_pain,,
extreme_pain_04.png,extreme_pain,polygon,,,,,extreme_pain,"[(97, 179), (98, 81), (147, 236), (249, 237), (296, 141), (257, 11), (144, 14), (99, 82)]",
mild_pain_01.png,mild_pain,bbox,90,11,295,233,mild_pain,,
mild_pain_01.png,mild_pain,polygon,,,,,mild_pain,"[(91, 78), (90, 192), (141, 232), (254, 228), (294, 131), (256, 13), (132, 11), (90, 78)]",
mild_pain_02.png,mild_pain,bbox,103,10,295,228,mild_pain,,
mild_pain_02.png,mild_pain,polygon,,,,,mild_pain,"[(103, 43), (103, 169), (155, 228), (257, 231), (296, 164), (263, 11), (134, 9), (104, 42)]",
mild_pain_03.png,mild_pain,bbox,104,6,280,231,mild_pain,,
mild_pain_03.png,mild_pain,polygon,,,,,mild_pain,"[(105, 43), (158, 7), (249, 9), (280, 77), (281, 179), (225, 230), (142, 230), (104, 163), (104, 44)]",
mild_pain_04.png,mild_pain,bbox,93,10,298,231,mild_pain,,
mild_pain_04.png,mild_pain,polygon,,,,,mild_pain,"[(92, 72), (94, 185), (144, 231), (254, 232), (300, 153), (297, 71), (238, 12), (139, 14), (90, 73)]",
moderate_pain_01.png,moderate_pain,bbox,162,16,317,236,moderate_pain,,
moderate_pain_01.png,moderate_pain,polygon,,,,,moderate_pain,"[(162, 53), (163, 190), (208, 238), (291, 238), (315, 187), (317, 68), (298, 19), (198, 17), (161, 55)]",
moderate_pain_02.png,moderate_pain,bbox,161,13,314,234,moderate_pain,,
moderate_pain_02.png,moderate_pain,polygon,,,,,moderate_pain,"[(161, 53), (161, 200), (202, 235), (288, 235), (314, 179), (315, 57), (278, 14), (197, 14), (161, 55)]",
moderate_pain_03.png,moderate_pain,bbox,166,23,313,238,moderate_pain,,
moderate_pain_03.png,moderate_pain,polygon,,,,,moderate_pain,"[(165, 66), (215, 24), (288, 24), (314, 103), (316, 187), (271, 237), (198, 235), (168, 162)]",
moderate_pain_04.png,moderate_pain,bbox,169,22,316,237,moderate_pain,,
moderate_pain_04.png,moderate_pain,polygon,,,,,moderate_pain,"[(169, 56), (172, 189), (210, 240), (288, 237), (318, 163), (312, 41), (289, 23), (207, 24), (172, 58)]",
no_pain_01.png,no_pain,bbox,52,18,198,231,no_pain,,
no_pain_01.png,no_pain,polygon,,,,,no_pain,"[(53, 63), (98, 17), (172, 20), (197, 74), (197, 193), (160, 231), (79, 229), (48, 178), (54, 65)]",
no_pain_02.png,no_pain,bbox,46,24,206,230,no_pain,,
no_pain_02.png,no_pain,polygon,,,,,no_pain,"[(45, 66), (47, 180), (90, 229), (162, 230), (205, 182), (206, 80), (186, 25), (94, 26), (45, 68)]",
no_pain_03.png,no_pain,bbox,46,19,206,226,no_pain,,
no_pain_03.png,no_pain,polygon,,,,,no_pain,"[(47, 60), (46, 177), (93, 229), (175, 228), (204, 150), (206, 52), (171, 20), (48, 60)]",
no_pain_04.png,no_pain,bbox,50,17,196,224,no_pain,,
no_pain_04.png,no_pain,polygon,,,,,no_pain,"[(49, 42), (50, 184), (88, 224), (164, 224), (199, 163), (196, 58), (158, 19), (80, 19), (47, 44), (50, 183)]",
severe_pain_01.png,severe_pain,bbox,111,12,290,221,severe_pain,,
severe_pain_01.png,severe_pain,polygon,,,,,severe_pain,"[(112, 78), (158, 13), (250, 13), (290, 89), (291, 172), (241, 224), (161, 222), (114, 171), (111, 80)]",
severe_pain_02.png,severe_pain,bbox,136,17,291,219,severe_pain,,
severe_pain_02.png,severe_pain,polygon,,,,,severe_pain,"[(136, 57), (185, 21), (261, 21), (293, 70), (292, 161), (261, 220), (171, 221), (138, 175), (137, 57)]",
severe_pain_03.png,severe_pain,bbox,117,14,290,223,severe_pain,,
severe_pain_03.png,severe_pain,polygon,,,,,severe_pain,"[(118, 61), (116, 175), (157, 225), (253, 225), (289, 166), (289, 65), (259, 14), (158, 19), (120, 64)]",
severe_pain_04.png,severe_pain,bbox,125,14,289,218,severe_pain,,
severe_pain_04.png,severe_pain,polygon,,,,,severe_pain,"[(125, 63), (175, 17), (254, 12), (289, 103), (289, 183), (243, 219), (163, 220), (123, 162), (123, 62)]",
